index,age,workclass,education,marital-status,occupation,race,sex,native-country,salary
9695,52,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
18610,59,Federal-gov,Masters,Never-married,Exec-managerial,White,Male,United-States,<=50K
28265,43,Federal-gov,Masters,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
18289,34,Federal-gov,Doctorate,Never-married,Prof-specialty,White,Female,United-States,<=50K
20756,40,Federal-gov,Masters,Never-married,Tech-support,White,Female,United-States,<=50K
27021,37,Federal-gov,Masters,Divorced,Prof-specialty,White,Female,United-States,<=50K
18060,46,Federal-gov,Masters,Never-married,Prof-specialty,White,Female,United-States,<=50K
29738,44,Federal-gov,Masters,Never-married,Prof-specialty,White,Female,United-States,<=50K
30086,41,Federal-gov,Masters,Divorced,Prof-specialty,White,Female,United-States,<=50K
20638,61,Federal-gov,Masters,Widowed,Prof-specialty,White,Female,United-States,<=50K
25230,76,Federal-gov,Masters,Widowed,Prof-specialty,White,Female,United-States,<=50K
397,36,Federal-gov,Masters,Never-married,Prof-specialty,White,Male,United-States,<=50K
8557,26,Federal-gov,Masters,Never-married,Prof-specialty,White,Male,United-States,<=50K
14951,40,Federal-gov,Masters,Never-married,Prof-specialty,White,Male,United-States,<=50K
19828,42,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
26488,43,Federal-gov,Masters,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
2334,27,Federal-gov,HS-grad,Separated,Exec-managerial,Black,Female,United-States,<=50K
14989,37,Federal-gov,HS-grad,Never-married,Exec-managerial,Black,Female,United-States,<=50K
22573,32,Federal-gov,HS-grad,Never-married,Exec-managerial,Black,Female,United-States,<=50K
7432,50,Federal-gov,11th,Never-married,Sales,Black,Female,United-States,<=50K
11417,41,Federal-gov,HS-grad,Separated,Exec-managerial,Black,Female,United-States,<=50K
4341,33,Federal-gov,HS-grad,Never-married,Exec-managerial,White,Female,United-States,<=50K
9288,31,Federal-gov,HS-grad,Separated,Handlers-cleaners,White,Female,United-States,<=50K
19859,39,Federal-gov,HS-grad,Never-married,Exec-managerial,White,Female,United-States,<=50K
21621,31,Federal-gov,HS-grad,Never-married,Handlers-cleaners,White,Female,United-States,<=50K
27850,32,Federal-gov,HS-grad,Never-married,Exec-managerial,White,Female,United-States,<=50K
13238,53,Federal-gov,HS-grad,Widowed,Exec-managerial,White,Female,United-States,<=50K
15240,49,Federal-gov,HS-grad,Widowed,Exec-managerial,White,Female,United-States,<=50K
18708,47,Federal-gov,HS-grad,Never-married,Exec-managerial,White,Female,United-States,<=50K
22116,51,Federal-gov,HS-grad,Divorced,Exec-managerial,White,Female,United-States,<=50K
10590,62,Federal-gov,HS-grad,Widowed,Exec-managerial,White,Female,United-States,<=50K
16349,63,Federal-gov,HS-grad,Widowed,Exec-managerial,White,Female,United-States,<=50K
10770,46,Federal-gov,HS-grad,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
11201,48,Federal-gov,7th-8th,Married-spouse-absent,Handlers-cleaners,White,Male,United-States,<=50K
26541,55,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
28746,48,Federal-gov,HS-grad,Divorced,Handlers-cleaners,White,Male,United-States,<=50K
17397,30,Federal-gov,HS-grad,Married-civ-spouse,Armed-Forces,Amer-Indian-Eskimo,Male,United-States,<=50K
29060,31,Federal-gov,HS-grad,Married-civ-spouse,Farming-fishing,Amer-Indian-Eskimo,Male,United-States,<=50K
2385,56,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,United-States,<=50K
9902,46,Federal-gov,HS-grad,Never-married,Adm-clerical,Amer-Indian-Eskimo,Male,United-States,<=50K
1279,19,Federal-gov,HS-grad,Never-married,Adm-clerical,Black,Female,United-States,<=50K
24902,17,Federal-gov,11th,Never-married,Adm-clerical,Black,Female,United-States,<=50K
4655,32,Federal-gov,HS-grad,Never-married,Other-service,Black,Female,United-States,<=50K
7603,30,Federal-gov,HS-grad,Never-married,Adm-clerical,Black,Female,United-States,<=50K
12811,33,Federal-gov,HS-grad,Divorced,Adm-clerical,Black,Female,United-States,<=50K
12904,36,Federal-gov,HS-grad,Never-married,Adm-clerical,Black,Female,United-States,<=50K
15280,40,Federal-gov,HS-grad,Never-married,Adm-clerical,Black,Female,United-States,<=50K
19024,38,Federal-gov,HS-grad,Never-married,Adm-clerical,Black,Female,United-States,<=50K
19362,26,Federal-gov,HS-grad,Never-married,Adm-clerical,Black,Female,United-States,<=50K
20094,27,Federal-gov,HS-grad,Never-married,Adm-clerical,Black,Female,United-States,<=50K
21265,40,Federal-gov,HS-grad,Divorced,Adm-clerical,Black,Female,United-States,<=50K
