index,age,workclass,education,marital-status,occupation,race,sex,native-country,salary
*,27,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
*,*,Private,Undergraduate,Married-civ-spouse,Sales,White,Male,United-States,>50K
*,51,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
*,*,Non-Government,Higher education,Married-civ-spouse,*,White,*,Columbia,<=50K
*,*,Non-Government,Higher education,Married-civ-spouse,*,White,*,United-States,>50K
*,*,Private,*,Never-married,*,*,*,*,<=50K
*,33,Private,HS-grad,Divorced,Exec-managerial,White,Male,United-States,<=50K
*,*,Private,Undergraduate,Never-married,Exec-managerial,White,Female,United-States,<=50K
*,32,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
*,"[21, 40]",Private,High School,Married-civ-spouse,Adm-clerical,White,Female,United-States,>50K
*,47,Private,HS-grad,Married-civ-spouse,Sales,White,Male,United-States,>50K
*,"[31, 40]",Private,HS-grad,Never-married,Handlers-cleaners,White,Female,United-States,<=50K
*,*,Non-Government,HS-grad,Never-married,Other,White,Female,United-States,<=50K
*,33,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
*,"[31, 40]",Local-gov,Masters,Never-married,Prof-specialty,White,Female,United-States,<=50K
*,39,Private,HS-grad,Married-civ-spouse,Other-service,Black,Female,United-States,<=50K
*,*,Private,Undergraduate,Married-spouse-absent,Nontechnical,Black,*,United-States,<=50K
*,"[61, 70]",Private,HS-grad,Married-civ-spouse,Priv-house-serv,Black,Female,United-States,<=50K
*,26,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,<=50K
*,"[21, 30]",Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
*,"[21, 40]",Local-gov,Undergraduate,Never-married,Craft-repair,White,Male,United-States,<=50K
*,38,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
*,*,Non-Government,Bachelors,Married-civ-spouse,Technical,Asian-Pac-Islander,Male,United-States,<=50K
*,29,Private,HS-grad,Never-married,Craft-repair,Black,Male,United-States,<=50K
*,*,Government,Higher education,Never-married,*,White,*,Canada,<=50K
*,29,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
*,*,Private,*,Married-civ-spouse,*,*,*,*,<=50K
*,25,Private,HS-grad,Never-married,Sales,White,Male,United-States,<=50K
*,*,Local-gov,Professional Education,Never-married,Prof-specialty,White,Female,United-States,<=50K
*,33,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
*,32,Private,Assoc-voc,Never-married,Craft-repair,White,Male,United-States,<=50K
*,*,Private,High School,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
*,*,Government,Higher education,Never-married,*,White,*,United-States,<=50K
*,"[41, 50]",Private,Assoc-acdm,Never-married,Adm-clerical,Black,Female,United-States,<=50K
*,*,Local-gov,Professional Education,Married-civ-spouse,Nontechnical,White,*,United-States,>50K
*,35,Private,Bachelors,Divorced,Sales,White,Male,United-States,<=50K
*,"[21, 40]",Private,Professional Education,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
*,30,Private,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,<=50K
*,"[21, 30]",Self-emp-not-inc,Some-college,Never-married,Sales,White,Male,United-States,<=50K
*,*,Non-Government,Higher education,Never-married,*,White,*,United-States,<=50K
*,"[21, 30]",Private,9th,Married-civ-spouse,Machine-op-inspct,White,Female,United-States,<=50K
*,28,Private,10th,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
*,*,Non-Government,Higher education,Never-married,*,White,*,United-States,<=50K
*,*,Non-Government,Higher education,Married-civ-spouse,*,White,*,Canada,<=50K
*,"[41, 50]",State-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
*,*,Non-Government,Higher education,Married-civ-spouse,*,White,*,Germany,>50K
*,45,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
*,*,Non-Government,Secondary education,Divorced,*,White,*,United-States,<=50K
*,40,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
*,*,Private,*,Never-married,*,*,*,*,<=50K
*,28,Private,Some-college,Married-civ-spouse,Tech-support,White,Female,United-States,<=50K
*,"[21, 30]",Private,10th,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
*,*,Private,Undergraduate,Never-married,Craft-repair,Black,Male,United-States,<=50K
*,49,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
*,*,Non-Government,Secondary education,Married-civ-spouse,*,White,*,United-States,<=50K
*,*,Local-gov,Graduate,Divorced,Technical,White,*,United-States,<=50K
*,"[41, 50]",Private,HS-grad,Separated,Transport-moving,White,Female,United-States,<=50K
*,"[21, 40]",Private,High School,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
*,"[51, 60]",Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Female,United-States,>50K
*,"[51, 60]",Private,10th,Separated,Transport-moving,Black,Male,United-States,>50K
*,"[21, 40]",Private,Undergraduate,Never-married,Sales,White,Male,United-States,<=50K
