index,age,workclass,education,marital-status,occupation,race,sex,native-country,salary
*,"[41, 60]",Federal-gov,Higher education,Married-civ-spouse,*,Amer-Indian-Eskimo,Female,United-States,>50K
*,"[41, 60]",Federal-gov,Higher education,Widowed,*,Amer-Indian-Eskimo,Female,United-States,<=50K
*,"[41, 60]",Federal-gov,Higher education,Never-married,*,Amer-Indian-Eskimo,Female,United-States,<=50K
*,"[41, 60]",Federal-gov,Higher education,Widowed,*,Amer-Indian-Eskimo,Female,United-States,<=50K
*,"[41, 60]",Federal-gov,Higher education,Divorced,*,Amer-Indian-Eskimo,Female,United-States,<=50K
*,"[41, 60]",Federal-gov,Higher education,Divorced,*,Amer-Indian-Eskimo,Female,United-States,<=50K
*,"[41, 60]",Federal-gov,Higher education,Divorced,*,Amer-Indian-Eskimo,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,>50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Married-civ-spouse,*,Black,Female,United-States,>50K
*,"[21, 40]",Federal-gov,Higher education,Married-civ-spouse,*,Black,Female,United-States,>50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,>50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Separated,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Divorced,*,Black,Female,United-States,<=50K
*,"[21, 40]",Federal-gov,Higher education,Never-married,*,Black,Female,United-States,<=50K
