index,age,workclass,education,marital-status,occupation,race,sex,native-country,salary
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Female,*,>50K
*,*,*,*,Widowed,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Female,*,>50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Female,*,>50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Separated,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Widowed,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Separated,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Widowed,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Female,*,>50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Separated,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Widowed,Nontechnical,Amer-Indian-Eskimo,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-spouse-absent,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Male,*,>50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Separated,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Divorced,Nontechnical,Amer-Indian-Eskimo,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Amer-Indian-Eskimo,Male,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,>50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,>50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,>50K
*,*,*,*,Separated,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Widowed,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-spouse-absent,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,>50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,>50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,>50K
*,*,*,*,Widowed,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-spouse-absent,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Widowed,Nontechnical,Asian-Pac-Islander,Female,*,>50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Female,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-spouse-absent,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-spouse-absent,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Divorced,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-spouse-absent,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Widowed,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Separated,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,>50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Separated,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Married-civ-spouse,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
*,*,*,*,Never-married,Nontechnical,Asian-Pac-Islander,Male,*,<=50K
